# Fungal species
Aspergillus fumigatus
Aspergillus nidulans
Aspergillus niger
Aspergillus sydowii
Blumeria graminis
Botrytis cinerea
Fusarium graminearum
Fusarium oxysporum
 # Need to find taxanomic ID for below Magnapothe spp. becuase not species name given on NCBI Assembly database
 # Alternative is to search NCBI by 'Magnapothe' genus only as this will pull all 5 anyway
 # Or maybe able to use the magnoporthe species names as is 
Magnaporthe MG03
Magnaporthe MG05
Magnaporthe MG07
Magnaporthe MG08
Magnaporthe MG12
Mycosphaerella graminicola
Rhynchosporium agropyri
Rhynchosporium commune
Rhynchosporium secalis
Trichoderma asperellum
Trichoderma atroviride
Trichoderma citrinoviride
Trichoderma harzianum
Trichoderma pseudokoningii
Trichoderma reesei
Ustilago maydis
# Oomycete species
Albugo candida
Hyaloperonospora arabidopsidis
Phytophthora cinnamomi
Phytophthora capsici
Phytophthora infestans
Phytophthora parasitica
Phytophthora ramorum
Phytophthora sojae
Phytophthora ultimum
Plasmopara viticola
