# Fungal species
Aspergillus fumigatus
Aspergillus nidulans
Aspergillus niger
Aspergillus sydowii
Fusarium graminearum
Fusarium oxysporum
Fusarium proliferatum
Magnaporthe grisea
Magnaporthe oryzae
Mycosphaerella graminicola
Rhynchosporium agropyri
Rhynchosporium commune
Rhynchosporium secalis
Trichoderma asperellum
Trichoderma atroviride
Trichoderma citrinoviride
Trichoderma harzianum
Trichoderma reesei
Ustilago maydis
Ustilago bromivora
# Oomycete species
Albugo candida
Hyaloperonospora arabidopsidis
Phytophthora cinnamomi
Phytophthora capsici
Phytophthora infestans
Phytophthora parasitica
Phytophthora ramorum
Phytophthora sojae
Plasmopara viticola
Plasmopara halstedii
Plasmopara obducens
