Genomic_accession	Total_proteins	Total_CAZymes	Genome_CAZome_percentage	CAZome_coverage_percentage	CAZyme_sample_size
GCA_000021645.1	1744	101	5.791284403669724	99.00990099009901	100
GCA_009017415.1	13709	597	4.354803413815741	16.750418760469014	100
GCA_016861735.1	10356	310	2.9934337582078023	32.25806451612903	100
GCA_013426205.1	11420	394	3.450087565674256	25.380710659898476	100
GCA_001592805.2	8072	267	3.3077304261645195	37.453183520599254	100
GCA_016767815.1	9003	318	3.5321559480173277	31.446540880503143	100
GCA_000090985.2	10137	148	1.4599980270296933	67.56756756756756	100
GCA_009498115.1	5676	135	2.3784355179704018	74.07407407407408	100
GCA_014490615.1	6476	133	2.0537368746139593	75.18796992481202	100
GCA_000143535.4	13725	544	3.963570127504554	18.38235294117647	100
GCA_000091025.4	4776	109	2.282244556113903	91.74311926605505	100
GCA_007993695.1	5108	121	2.3688332028191073	82.64462809917356	100
GCA_000002515.1	5076	116	2.2852639873916467	86.20689655172413	100
GCA_001854445.2	5081	123	2.420783310371974	81.30081300813008	100
GCA_004346965.1	13521	550	4.067746468456475	18.181818181818183	100
GCA_001640025.2	5135	150	2.9211295034079843	66.66666666666666	100
GCA_016952355.1	11444	486	4.246766864732611	20.5761316872428	100
GCA_013085055.1	17127	719	4.198049862789747	13.908205841446453	100
GCA_016952305.1	11217	485	4.3237942408843715	20.618556701030926	100
GCA_008080495.1	9287	319	3.4349090125982555	31.347962382445143	100
GCA_004217705.1	5800	136	2.344827586206897	73.52941176470588	100
GCA_011074885.2	5246	136	2.5924513915364087	73.52941176470588	100
GCA_003054445.1	5155	137	2.6576139670223085	72.99270072992701	100
GCA_011074865.2	4711	140	2.9717682020802374	71.42857142857143	100
GCA_001984395.2	10086	220	2.181241324608368	45.45454545454545	100
GCA_003013715.2	5327	131	2.4591702646893183	76.33587786259542	100
GCA_008275145.1	5506	131	2.3792226661823466	76.33587786259542	100
GCA_014217725.1	5220	146	2.796934865900383	68.4931506849315	100
GCA_000026945.1	5860	140	2.3890784982935154	71.42857142857143	100
GCA_000092065.1	7603	117	1.5388662370117059	85.47008547008546	100
GCA_007859695.1	8639	221	2.5581664544507468	45.248868778280546	100
GCA_000015865.1	3173	144	4.538291837377876	69.44444444444444	100
GCA_000237085.1	3892	147	3.776978417266187	68.02721088435374	100
GCA_016406125.1	4856	113	2.327018121911038	88.49557522123894	100
GCA_013283915.1	3900	100	2.564102564102564	100.0	100
GCA_014792065.1	3687	102	2.7664768104149715	98.0392156862745	100
GCA_000835145.1	3675	101	2.748299319727891	99.00990099009901	100
GCA_000023565.1	4163	108	2.594282969012731	92.5925925925926	100
GCA_003403135.1	4317	116	2.687051192958073	86.20689655172413	100
GCA_002025045.1	3246	103	3.1731361675908807	97.0873786407767	100
GCA_009707345.1	3492	144	4.123711340206185	69.44444444444444	100
GCA_002003305.1	5518	213	3.8600942370424067	46.948356807511736	100
GCA_000833105.2	5425	189	3.483870967741935	52.910052910052904	100
GCA_000022065.1	3390	143	4.218289085545723	69.93006993006993	100
GCA_000092385.1	10022	387	3.861504689682698	25.839793281653744	100
GCA_009936315.1	10089	361	3.5781544256120528	27.70083102493075	100
GCA_008694105.1	3082	153	4.964308890330954	65.359477124183	100
GCA_014084105.1	7584	288	3.79746835443038	34.72222222222222	100
GCA_000024865.1	8975	254	2.83008356545961	39.37007874015748	100
GCA_011801145.1	9002	189	2.0995334370139966	52.910052910052904	100
GCA_000328565.1	6939	136	1.9599365902867847	73.52941176470588	100
GCA_900638075.1	4848	117	2.4133663366336635	85.47008547008546	100
GCA_001315015.1	5669	160	2.822367260539778	62.5	100
GCA_000092285.1	4139	116	2.8026093259241365	86.20689655172413	100
GCA_000019225.1	3754	222	5.913692061800746	45.04504504504504	100
GCA_003940765.1	4725	112	2.3703703703703702	89.28571428571429	100
GCA_005221905.1	5648	100	1.7705382436260624	100.0	100
GCA_005221585.1	5568	100	1.7959770114942528	100.0	100
GCA_011604725.1	4937	110	2.2280737289852137	90.9090909090909	100
GCA_010093005.1	6201	157	2.5318497016610224	63.69426751592356	100
GCA_002906395.1	6608	162	2.4515738498789346	61.72839506172839	100
GCA_007970185.1	5941	233	3.9218986702575322	42.91845493562232	100
GCA_900074915.1	5807	101	1.7392801790941967	99.00990099009901	100
GCA_900635675.1	5641	146	2.588193582698103	68.4931506849315	100
GCA_013426155.1	5120	105	2.05078125	95.23809523809523	100
GCA_000828775.1	4970	101	2.032193158953722	99.00990099009901	100
GCA_002310495.1	3763	282	7.49402072814244	35.46099290780142	100
GCA_000972765.1	2640	181	6.8560606060606055	55.24861878453039	100
GCA_000816885.1	4474	171	3.8220831470719716	58.47953216374269	100
GCA_000349225.1	4760	170	3.571428571428571	58.82352941176471	100
